,date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
0,2014-7-1,76.0,64.0,87.0,68.0,88.0,52.0,106.0,1968.0,1933.0,0.0,0.15,2.41
1,2014-7-2,64.0,52.0,76.0,66.0,88.0,52.0,99.0,2014.0,2006.0,0.0,0.19,2.03
2,2014-7-3,66.0,49.0,83.0,67.0,88.0,49.0,102.0,2014.0,2012.0,0.0,0.17,1.86
3,2014-7-4,72.0,59.0,85.0,68.0,89.0,49.0,110.0,1972.0,1936.0,0.0,0.14,1.4
4,2014-7-5,78.0,66.0,89.0,67.0,89.0,46.0,104.0,1997.0,2012.0,0.0,0.15,0.58
5,2014-7-6,84.0,74.0,93.0,67.0,89.0,55.0,106.0,2006.0,2012.0,0.0,0.16,1.94
6,2014-7-7,82.0,70.0,94.0,67.0,89.0,55.0,107.0,2004.0,2012.0,1.32,0.15,1.32
7,2014-7-8,76.0,66.0,86.0,68.0,89.0,53.0,104.0,1891.0,1913.0,0.07,0.13,1.72
8,2014-7-9,73.0,59.0,87.0,67.0,89.0,55.0,104.0,1996.0,2013.0,0.0,0.16,0.92
9,2014-7-10,77.0,66.0,87.0,67.0,89.0,50.0,100.0,1996.0,2011.0,0.0,0.15,0.61
10,2014-7-11,83.0,71.0,94.0,69.0,90.0,53.0,107.0,1895.0,1980.0,0.0,0.13,2.44
11,2014-7-12,83.0,70.0,96.0,67.0,89.0,53.0,102.0,1999.0,2011.0,0.0,0.15,1.94
12,2014-7-13,79.0,68.0,89.0,67.0,89.0,55.0,98.0,1999.0,2004.0,0.4,0.15,0.4
13,2014-7-14,71.0,60.0,82.0,69.0,90.0,51.0,110.0,1990.0,1980.0,0.03,0.13,1.34
14,2014-7-15,65.0,53.0,77.0,67.0,90.0,53.0,100.0,2014.0,2012.0,0.0,0.15,0.75
15,2014-7-16,65.0,50.0,80.0,67.0,90.0,50.0,102.0,2014.0,2003.0,0.0,0.15,1.66
16,2014-7-17,68.0,57.0,79.0,67.0,90.0,57.0,102.0,2014.0,2003.0,0.0,0.14,0.54
17,2014-7-18,71.0,59.0,82.0,68.0,90.0,59.0,108.0,2014.0,2003.0,0.0,0.13,0.75
18,2014-7-19,70.0,55.0,84.0,68.0,90.0,55.0,107.0,2014.0,2006.0,0.0,0.12,0.45
19,2014-7-20,74.0,59.0,89.0,68.0,90.0,59.0,102.0,2014.0,2006.0,0.0,0.1,1.21
20,2014-7-21,85.0,71.0,98.0,68.0,90.0,62.0,102.0,2012.0,2011.0,0.0,0.1,0.33
21,2014-7-22,91.0,79.0,103.0,69.0,90.0,51.0,106.0,1970.0,2011.0,0.0,0.12,2.67
22,2014-7-23,80.0,70.0,89.0,68.0,90.0,55.0,106.0,2000.0,2012.0,0.0,0.1,0.33
23,2014-7-24,76.0,64.0,88.0,68.0,90.0,54.0,104.0,2003.0,2012.0,0.0,0.09,2.54
24,2014-7-25,89.0,75.0,102.0,69.0,90.0,53.0,110.0,1975.0,1936.0,0.0,0.11,1.73
25,2014-7-26,87.0,78.0,96.0,68.0,90.0,55.0,104.0,2004.0,2003.0,0.0,0.09,1.15
26,2014-7-27,79.0,65.0,92.0,68.0,90.0,52.0,105.0,2013.0,2011.0,0.0,0.09,0.7
27,2014-7-28,72.0,58.0,85.0,68.0,90.0,52.0,102.0,2005.0,2011.0,0.0,0.1,1.07
28,2014-7-29,71.0,55.0,86.0,68.0,90.0,55.0,108.0,2014.0,2012.0,0.0,0.11,0.87
29,2014-7-30,70.0,57.0,82.0,68.0,90.0,57.0,104.0,2014.0,1999.0,0.0,0.14,1.66
30,2014-7-31,71.0,53.0,88.0,67.0,90.0,53.0,102.0,2014.0,2006.0,0.0,0.14,0.25
31,2014-8-1,76.0,63.0,89.0,67.0,90.0,57.0,107.0,1997.0,2011.0,0.0,0.1,0.1
32,2014-8-2,77.0,61.0,93.0,67.0,90.0,61.0,111.0,2014.0,2011.0,0.0,0.09,0.49
33,2014-8-3,77.0,63.0,91.0,67.0,90.0,63.0,100.0,2014.0,2002.0,1.31,0.09,1.31
34,2014-8-4,82.0,68.0,96.0,67.0,90.0,63.0,100.0,2003.0,2002.0,0.0,0.09,1.27
35,2014-8-5,84.0,69.0,98.0,68.0,90.0,52.0,109.0,1974.0,1934.0,0.0,0.13,2.2
36,2014-8-6,82.0,67.0,96.0,67.0,90.0,53.0,105.0,2012.0,2006.0,2.0,0.09,2.0
37,2014-8-7,78.0,70.0,86.0,68.0,90.0,49.0,110.0,1989.0,1934.0,0.0,0.13,2.63
38,2014-8-8,77.0,68.0,85.0,67.0,90.0,54.0,104.0,1997.0,2012.0,0.0,0.1,1.75
39,2014-8-9,76.0,65.0,86.0,67.0,90.0,57.0,106.0,1996.0,2006.0,0.0,0.12,0.34
40,2014-8-10,76.0,67.0,85.0,67.0,90.0,57.0,102.0,2012.0,2010.0,0.43,0.13,1.02
41,2014-8-11,73.0,60.0,85.0,67.0,90.0,51.0,102.0,2004.0,2010.0,0.0,0.14,0.18
42,2014-8-12,69.0,57.0,81.0,66.0,90.0,46.0,104.0,2004.0,2010.0,0.0,0.14,0.98
43,2014-8-13,69.0,53.0,85.0,66.0,90.0,53.0,105.0,2014.0,2010.0,0.0,0.15,2.9
44,2014-8-14,74.0,59.0,89.0,67.0,89.0,50.0,113.0,2004.0,1936.0,0.0,0.14,3.52
45,2014-8-15,76.0,66.0,86.0,66.0,90.0,48.0,105.0,2004.0,2007.0,0.02,0.16,0.46
46,2014-8-16,76.0,67.0,85.0,66.0,90.0,53.0,100.0,2004.0,1999.0,0.53,0.17,0.53
47,2014-8-17,75.0,64.0,85.0,66.0,90.0,51.0,105.0,2012.0,2003.0,0.0,0.18,0.25
48,2014-8-18,80.0,66.0,94.0,65.0,90.0,47.0,106.0,2012.0,2003.0,0.0,0.18,1.5
49,2014-8-19,86.0,72.0,99.0,65.0,89.0,53.0,104.0,2012.0,2003.0,0.01,0.17,1.36
50,2014-8-20,86.0,74.0,97.0,65.0,89.0,46.0,104.0,2012.0,2003.0,0.0,0.18,1.2
51,2014-8-21,91.0,80.0,101.0,65.0,89.0,48.0,109.0,2012.0,2003.0,0.0,0.18,0.19
52,2014-8-22,89.0,76.0,102.0,64.0,89.0,54.0,102.0,2012.0,2014.0,0.0,0.18,0.35
53,2014-8-23,90.0,76.0,104.0,64.0,89.0,52.0,104.0,2015.0,2014.0,0.0,0.17,2.63
54,2014-8-24,88.0,72.0,103.0,64.0,89.0,47.0,103.0,2015.0,2014.0,0.0,0.17,1.24
55,2014-8-25,89.0,76.0,102.0,63.0,88.0,50.0,105.0,2015.0,2003.0,0.0,0.16,1.97
56,2014-8-26,86.0,74.0,98.0,63.0,88.0,51.0,104.0,2010.0,2003.0,0.02,0.16,0.93
57,2014-8-27,83.0,74.0,91.0,63.0,88.0,55.0,102.0,2010.0,2007.0,0.0,0.15,3.59
58,2014-8-28,86.0,73.0,99.0,62.0,88.0,55.0,100.0,2010.0,2007.0,0.0,0.13,0.71
59,2014-8-29,81.0,69.0,93.0,62.0,88.0,55.0,99.0,2004.0,2012.0,0.21,0.13,0.21
60,2014-8-30,81.0,66.0,95.0,62.0,87.0,53.0,103.0,2008.0,2013.0,0.0,0.13,2.58
61,2014-8-31,83.0,68.0,97.0,63.0,86.0,47.0,107.0,1967.0,2000.0,0.94,0.13,3.88
62,2014-9-1,74.0,67.0,81.0,62.0,86.0,44.0,106.0,1949.0,2011.0,0.88,0.12,3.99
63,2014-9-2,74.0,66.0,82.0,61.0,86.0,51.0,109.0,2007.0,2000.0,0.0,0.18,0.97
64,2014-9-3,76.0,64.0,88.0,60.0,86.0,50.0,102.0,2010.0,2000.0,2.57,0.17,2.57
65,2014-9-4,85.0,76.0,94.0,60.0,86.0,46.0,97.0,2010.0,2012.0,0.0,0.18,0.25
66,2014-9-5,72.0,62.0,81.0,59.0,86.0,46.0,97.0,1997.0,2002.0,0.15,0.18,0.56
67,2014-9-6,64.0,53.0,75.0,59.0,85.0,42.0,99.0,2011.0,1998.0,0.0,0.18,0.24
68,2014-9-7,63.0,48.0,78.0,59.0,85.0,42.0,99.0,2011.0,2013.0,0.0,0.15,1.09
69,2014-9-8,70.0,53.0,86.0,58.0,85.0,45.0,103.0,2011.0,2013.0,0.0,0.14,0.69
70,2014-9-9,85.0,76.0,94.0,59.0,83.0,42.0,101.0,1976.0,1970.0,0.0,0.13,1.43
71,2014-9-10,72.0,60.0,83.0,57.0,84.0,43.0,100.0,2012.0,2000.0,0.38,0.15,1.51
72,2014-9-11,57.0,53.0,61.0,57.0,83.0,44.0,105.0,2007.0,2000.0,0.0,0.14,0.46
73,2014-9-12,47.0,38.0,55.0,56.0,83.0,38.0,95.0,2014.0,2011.0,0.01,0.14,3.08
74,2014-9-13,49.0,34.0,64.0,56.0,83.0,34.0,96.0,2014.0,2000.0,0.0,0.13,1.34
75,2014-9-14,63.0,51.0,74.0,56.0,82.0,42.0,91.0,1999.0,2004.0,0.0,0.11,0.86
76,2014-9-15,59.0,47.0,71.0,55.0,82.0,42.0,89.0,2007.0,1997.0,0.0,0.1,1.16
77,2014-9-16,58.0,43.0,73.0,55.0,81.0,39.0,95.0,1999.0,2006.0,0.0,0.11,0.55
78,2014-9-17,67.0,58.0,76.0,54.0,81.0,46.0,93.0,2000.0,2000.0,0.38,0.11,1.48
79,2014-9-18,67.0,61.0,73.0,55.0,80.0,35.0,101.0,1973.0,1925.0,0.0,0.13,1.4
80,2014-9-19,70.0,58.0,81.0,53.0,80.0,36.0,99.0,2003.0,2000.0,0.0,0.12,1.19
81,2014-9-20,73.0,61.0,85.0,53.0,80.0,39.0,91.0,2003.0,2010.0,0.0,0.12,1.91
82,2014-9-21,65.0,50.0,79.0,53.0,79.0,35.0,91.0,1999.0,2005.0,0.0,0.13,0.52
83,2014-9-22,59.0,43.0,75.0,52.0,79.0,35.0,93.0,1999.0,2000.0,0.0,0.13,0.79
84,2014-9-23,62.0,48.0,76.0,52.0,78.0,31.0,89.0,2012.0,2007.0,0.05,0.14,3.59
85,2014-9-24,65.0,58.0,72.0,51.0,78.0,43.0,89.0,2000.0,2007.0,0.06,0.13,0.6
86,2014-9-25,74.0,60.0,87.0,52.0,77.0,33.0,93.0,1989.0,1898.0,0.0,0.13,1.64
87,2014-9-26,69.0,55.0,83.0,51.0,77.0,35.0,89.0,2000.0,2013.0,0.01,0.13,0.17
88,2014-9-27,67.0,51.0,82.0,50.0,77.0,37.0,89.0,1996.0,2013.0,0.0,0.13,2.8
89,2014-9-28,67.0,50.0,84.0,50.0,76.0,35.0,93.0,1996.0,2002.0,0.0,0.13,1.01
90,2014-9-29,68.0,51.0,85.0,49.0,76.0,33.0,96.0,2003.0,2002.0,0.0,0.13,0.4
91,2014-9-30,70.0,55.0,85.0,49.0,75.0,39.0,93.0,1999.0,2002.0,0.01,0.11,0.51
