,date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
0,2014-7-1,76.0,68.0,84.0,67.0,84.0,49.0,103.0,1982.0,1956.0,0.04,0.11,1.23
1,2014-7-2,66.0,58.0,74.0,67.0,84.0,48.0,99.0,1930.0,1970.0,0.12,0.1,2.5
2,2014-7-3,66.0,57.0,75.0,67.0,84.0,50.0,102.0,1940.0,1949.0,0.05,0.11,1.38
3,2014-7-4,70.0,60.0,79.0,67.0,84.0,49.0,101.0,1940.0,2012.0,0.0,0.11,0.94
4,2014-7-5,71.0,63.0,79.0,67.0,84.0,46.0,103.0,1972.0,2012.0,0.01,0.13,1.18
5,2014-7-6,78.0,66.0,89.0,67.0,84.0,49.0,105.0,1983.0,2012.0,0.0,0.12,3.93
6,2014-7-7,81.0,72.0,89.0,67.0,85.0,48.0,102.0,1983.0,1936.0,0.48,0.13,1.3
7,2014-7-8,77.0,70.0,84.0,68.0,85.0,49.0,106.0,1934.0,1936.0,0.48,0.13,2.41
8,2014-7-9,73.0,64.0,81.0,68.0,85.0,51.0,100.0,1941.0,1936.0,0.0,0.12,2.43
9,2014-7-10,71.0,63.0,78.0,68.0,85.0,51.0,106.0,1941.0,1936.0,0.0,0.13,0.98
10,2014-7-11,73.0,63.0,83.0,68.0,85.0,51.0,107.0,1978.0,1936.0,0.0,0.13,6.16
11,2014-7-12,76.0,70.0,81.0,68.0,85.0,55.0,100.0,1975.0,1936.0,3.31,0.13,6.16
12,2014-7-13,79.0,71.0,86.0,68.0,85.0,50.0,106.0,1940.0,1995.0,0.04,0.12,1.49
13,2014-7-14,73.0,64.0,81.0,68.0,85.0,52.0,104.0,1930.0,1936.0,0.37,0.13,1.52
14,2014-7-15,64.0,57.0,71.0,68.0,85.0,49.0,103.0,1930.0,1988.0,0.05,0.13,1.36
15,2014-7-16,65.0,56.0,73.0,68.0,85.0,49.0,100.0,1945.0,1931.0,0.0,0.13,2.48
16,2014-7-17,68.0,58.0,78.0,68.0,85.0,51.0,100.0,1940.0,1942.0,0.0,0.12,5.72
17,2014-7-18,73.0,64.0,81.0,68.0,84.0,53.0,101.0,1979.0,1930.0,0.0,0.13,2.36
18,2014-7-19,71.0,62.0,80.0,68.0,84.0,55.0,104.0,1947.0,1930.0,0.0,0.13,3.69
19,2014-7-20,75.0,66.0,84.0,68.0,84.0,50.0,103.0,1941.0,1934.0,0.0,0.13,3.03
20,2014-7-21,78.0,68.0,87.0,68.0,84.0,51.0,108.0,1970.0,1934.0,0.0,0.14,1.43
21,2014-7-22,82.0,72.0,91.0,68.0,84.0,49.0,104.0,1947.0,1934.0,0.19,0.14,1.82
22,2014-7-23,70.0,64.0,76.0,68.0,84.0,51.0,109.0,1947.0,1934.0,0.0,0.14,2.31
