,date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
0,2014-7-1,76.0,66.0,85.0,65.0,85.0,46.0,96.0,1988.0,1970.0,0.25,0.15,1.18
1,2014-7-2,72.0,64.0,80.0,65.0,85.0,48.0,97.0,2001.0,1970.0,0.0,0.14,1.66
2,2014-7-3,64.0,55.0,73.0,65.0,85.0,50.0,99.0,1968.0,1970.0,0.02,0.13,1.03
3,2014-7-4,67.0,54.0,79.0,66.0,85.0,48.0,103.0,1968.0,1911.0,0.0,0.15,2.4
4,2014-7-5,68.0,55.0,80.0,65.0,85.0,47.0,98.0,1972.0,1977.0,0.0,0.13,1.71
5,2014-7-6,74.0,65.0,83.0,65.0,85.0,46.0,101.0,1983.0,2012.0,0.0,0.14,1.56
6,2014-7-7,76.0,70.0,81.0,65.0,85.0,50.0,100.0,1983.0,1977.0,0.0,0.14,2.23
7,2014-7-8,74.0,67.0,81.0,65.0,85.0,40.0,100.0,1984.0,1988.0,1.23,0.15,1.83
8,2014-7-9,72.0,63.0,80.0,65.0,85.0,48.0,99.0,1984.0,1988.0,0.0,0.15,1.24
9,2014-7-10,69.0,59.0,78.0,65.0,85.0,50.0,100.0,1997.0,1988.0,0.0,0.15,1.34
10,2014-7-11,68.0,55.0,81.0,65.0,85.0,51.0,100.0,1996.0,1988.0,0.0,0.14,1.72
11,2014-7-12,74.0,67.0,81.0,65.0,85.0,53.0,96.0,1974.0,1966.0,0.0,0.16,1.88
12,2014-7-13,77.0,70.0,84.0,65.0,85.0,50.0,99.0,1976.0,1966.0,0.0,0.15,1.64
13,2014-7-14,76.0,66.0,85.0,65.0,85.0,50.0,97.0,1967.0,1966.0,0.39,0.15,1.19
14,2014-7-15,63.0,57.0,69.0,65.0,85.0,50.0,95.0,1987.0,1983.0,0.0,0.16,1.37
15,2014-7-16,62.0,54.0,70.0,64.0,85.0,52.0,100.0,1985.0,1980.0,0.0,0.15,1.02
16,2014-7-17,62.0,49.0,75.0,64.0,85.0,49.0,99.0,2014.0,1988.0,0.0,0.16,0.95
17,2014-7-18,65.0,53.0,77.0,64.0,85.0,53.0,100.0,2014.0,1988.0,0.0,0.15,1.29
18,2014-7-19,68.0,60.0,76.0,64.0,85.0,48.0,95.0,1984.0,1977.0,0.02,0.14,1.87
19,2014-7-20,71.0,60.0,81.0,66.0,85.0,49.0,103.0,1947.0,1934.0,0.0,0.13,4.0
20,2014-7-21,72.0,59.0,84.0,64.0,84.0,48.0,99.0,1970.0,1983.0,0.0,0.15,1.75
21,2014-7-22,76.0,63.0,88.0,64.0,84.0,48.0,97.0,2007.0,1983.0,0.0,0.14,1.09
22,2014-7-23,69.0,62.0,76.0,64.0,84.0,50.0,98.0,1985.0,1983.0,0.02,0.14,0.78
23,2014-7-24,66.0,56.0,76.0,64.0,84.0,53.0,96.0,2013.0,1983.0,0.0,0.14,1.43
24,2014-7-25,63.0,50.0,76.0,64.0,84.0,49.0,95.0,2013.0,1965.0,0.0,0.14,2.68
25,2014-7-26,75.0,67.0,83.0,64.0,84.0,35.0,96.0,1996.0,1997.0,0.09,0.12,1.65
26,2014-7-27,74.0,65.0,83.0,64.0,84.0,32.0,94.0,1997.0,1966.0,0.1,0.12,0.68
27,2014-7-28,65.0,57.0,73.0,66.0,85.0,51.0,101.0,2013.0,1930.0,0.0,0.12,2.95
28,2014-7-29,61.0,47.0,74.0,64.0,84.0,47.0,96.0,2014.0,1993.0,0.01,0.12,0.63
29,2014-7-30,69.0,59.0,78.0,64.0,84.0,50.0,95.0,1997.0,1999.0,0.0,0.13,1.77
30,2014-7-31,69.0,58.0,80.0,64.0,84.0,47.0,94.0,1993.0,1975.0,0.0,0.12,1.37
31,2014-8-1,70.0,57.0,82.0,64.0,83.0,48.0,93.0,1992.0,1975.0,0.03,0.12,1.1
32,2014-8-2,72.0,63.0,80.0,64.0,83.0,51.0,95.0,1992.0,1988.0,0.12,0.11,1.23
33,2014-8-3,71.0,57.0,84.0,63.0,83.0,53.0,98.0,1965.0,1988.0,0.0,0.11,0.93
34,2014-8-4,72.0,59.0,84.0,63.0,83.0,52.0,95.0,2013.0,1988.0,0.0,0.11,1.87
35,2014-8-5,72.0,62.0,82.0,63.0,83.0,44.0,93.0,1993.0,1982.0,0.0,0.11,1.36
36,2014-8-6,71.0,62.0,79.0,63.0,83.0,46.0,91.0,1997.0,1965.0,0.0,0.11,0.76
37,2014-8-7,71.0,64.0,78.0,65.0,84.0,49.0,98.0,1989.0,1930.0,0.0,0.1,1.08
38,2014-8-8,72.0,60.0,83.0,63.0,83.0,47.0,95.0,1989.0,2007.0,0.0,0.1,0.93
