,date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
0,2014-7-1,75.0,68.0,81.0,62.0,83.0,52.0,95.0,2015.0,2002.0,0.0,0.07,0.54
1,2014-7-2,64.0,57.0,71.0,62.0,83.0,50.0,98.0,2001.0,2012.0,0.1,0.07,1.31
2,2014-7-3,66.0,57.0,75.0,63.0,83.0,54.0,97.0,1996.0,2012.0,0.1,0.07,1.75
3,2014-7-4,67.0,58.0,76.0,63.0,83.0,51.0,103.0,1996.0,2012.0,0.0,0.06,0.72
4,2014-7-5,69.0,59.0,79.0,63.0,83.0,51.0,103.0,1997.0,2012.0,0.0,0.07,0.57
5,2014-7-6,77.0,66.0,88.0,63.0,83.0,54.0,104.0,2001.0,2012.0,0.18,0.07,1.41
6,2014-7-7,79.0,70.0,88.0,63.0,83.0,53.0,94.0,1997.0,2010.0,0.16,0.08,0.57
7,2014-7-8,75.0,68.0,82.0,63.0,84.0,55.0,96.0,2004.0,2002.0,0.21,0.07,0.44
8,2014-7-9,71.0,62.0,80.0,64.0,84.0,53.0,94.0,1997.0,2007.0,0.0,0.08,0.78
9,2014-7-10,68.0,58.0,77.0,64.0,84.0,50.0,95.0,1997.0,2001.0,0.0,0.11,1.14
10,2014-7-11,71.0,60.0,82.0,64.0,84.0,50.0,88.0,1996.0,2011.0,0.0,0.13,0.37
11,2014-7-12,77.0,72.0,81.0,64.0,84.0,55.0,89.0,1999.0,2012.0,0.38,0.13,0.38
12,2014-7-13,77.0,68.0,86.0,64.0,84.0,56.0,95.0,2007.0,1997.0,0.0,0.12,0.27
13,2014-7-14,71.0,61.0,81.0,64.0,84.0,55.0,92.0,2002.0,2010.0,0.2,0.13,0.65
14,2014-7-15,64.0,56.0,72.0,64.0,84.0,56.0,96.0,2014.0,2006.0,0.08,0.13,1.2
15,2014-7-16,64.0,56.0,71.0,64.0,84.0,56.0,97.0,2014.0,2012.0,0.0,0.13,0.88
16,2014-7-17,66.0,53.0,78.0,64.0,84.0,53.0,99.0,2014.0,2012.0,0.0,0.14,0.71
17,2014-7-18,70.0,59.0,80.0,64.0,84.0,54.0,96.0,2003.0,2013.0,0.0,0.13,1.31
18,2014-7-19,69.0,57.0,80.0,64.0,84.0,54.0,97.0,2003.0,2013.0,0.0,0.12,0.79
19,2014-7-20,71.0,59.0,83.0,64.0,83.0,53.0,100.0,2009.0,2011.0,0.0,0.13,1.08
