,date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
0,2014-7-1,75.0,64.0,86.0,64.0,84.0,46.0,98.0,1988.0,1970.0,0.07,0.14,2.4
1,2014-7-2,72.0,64.0,80.0,64.0,84.0,48.0,99.0,2001.0,1966.0,0.0,0.13,1.49
2,2014-7-3,63.0,53.0,71.0,64.0,84.0,50.0,102.0,1924.0,1897.0,0.09,0.14,1.47
3,2014-7-4,67.0,54.0,79.0,66.0,85.0,48.0,103.0,1968.0,1911.0,0.0,0.15,2.4
4,2014-7-5,64.0,50.0,78.0,65.0,84.0,50.0,107.0,1972.0,1911.0,0.0,0.14,0.92
5,2014-7-6,70.0,60.0,80.0,65.0,84.0,44.0,102.0,1972.0,2012.0,0.02,0.14,1.91
6,2014-7-7,73.0,68.0,78.0,65.0,84.0,48.0,102.0,1983.0,2012.0,0.05,0.15,2.13
7,2014-7-8,72.0,66.0,78.0,65.0,84.0,49.0,104.0,1984.0,1936.0,0.5,0.15,1.43
8,2014-7-9,70.0,60.0,80.0,65.0,84.0,51.0,105.0,1918.0,1936.0,0.0,0.15,3.16
9,2014-7-10,66.0,55.0,78.0,65.0,84.0,48.0,103.0,1963.0,1936.0,0.0,0.15,1.05
10,2014-7-11,66.0,51.0,80.0,65.0,84.0,45.0,102.0,1898.0,1936.0,0.0,0.15,2.82
11,2014-7-12,72.0,62.0,82.0,65.0,84.0,49.0,103.0,1898.0,1936.0,0.0,0.15,2.16
12,2014-7-13,76.0,68.0,84.0,65.0,84.0,49.0,104.0,1940.0,1936.0,0.0,0.15,2.49
13,2014-7-14,74.0,64.0,84.0,65.0,84.0,48.0,106.0,1894.0,1936.0,1.31,0.14,1.66
14,2014-7-15,62.0,53.0,69.0,65.0,84.0,49.0,102.0,1903.0,1988.0,0.01,0.14,1.96
15,2014-7-16,63.0,53.0,72.0,66.0,85.0,49.0,98.0,1945.0,1988.0,0.0,0.15,2.32
16,2014-7-17,64.0,55.0,73.0,65.0,84.0,51.0,99.0,1976.0,2012.0,0.0,0.13,1.48
17,2014-7-18,64.0,51.0,77.0,65.0,84.0,51.0,98.0,1911.0,1894.0,0.04,0.12,1.47
18,2014-7-19,66.0,60.0,73.0,65.0,84.0,49.0,99.0,1910.0,1895.0,0.08,0.12,1.98
19,2014-7-20,66.0,55.0,78.0,65.0,84.0,49.0,101.0,1947.0,1934.0,0.0,0.12,2.46
20,2014-7-21,70.0,57.0,84.0,65.0,84.0,49.0,105.0,1974.0,1934.0,0.0,0.13,3.24
21,2014-7-22,73.0,60.0,86.0,65.0,84.0,50.0,108.0,2007.0,1901.0,0.0,0.13,1.59
22,2014-7-23,68.0,60.0,75.0,65.0,84.0,52.0,100.0,1985.0,1933.0,0.37,0.13,1.56
23,2014-7-24,63.0,53.0,73.0,64.0,84.0,50.0,103.0,1906.0,1934.0,0.0,0.13,2.19
24,2014-7-25,62.0,50.0,73.0,64.0,84.0,50.0,104.0,1906.0,1934.0,0.0,0.13,1.56
25,2014-7-26,69.0,60.0,78.0,64.0,84.0,52.0,101.0,1977.0,1901.0,0.27,0.12,1.45
26,2014-7-27,71.0,64.0,78.0,64.0,84.0,50.0,104.0,1900.0,1901.0,0.48,0.11,1.43
27,2014-7-28,62.0,53.0,71.0,64.0,83.0,53.0,102.0,2013.0,1901.0,0.0,0.12,1.66
28,2014-7-29,64.0,52.0,75.0,66.0,85.0,51.0,100.0,1881.0,1941.0,0.21,0.13,0.8
29,2014-7-30,64.0,51.0,77.0,64.0,83.0,50.0,99.0,1981.0,1913.0,0.0,0.11,1.38
30,2014-7-31,66.0,55.0,78.0,64.0,83.0,51.0,98.0,1997.0,1887.0,0.0,0.11,1.23
31,2014-8-1,68.0,55.0,82.0,64.0,83.0,52.0,96.0,1895.0,1935.0,0.0,0.1,2.19
32,2014-8-2,69.0,60.0,78.0,64.0,83.0,49.0,98.0,1965.0,1899.0,0.0,0.1,1.27
33,2014-8-3,68.0,53.0,82.0,64.0,83.0,40.0,100.0,1965.0,1964.0,0.0,0.1,2.13
34,2014-8-4,68.0,55.0,82.0,64.0,83.0,48.0,98.0,1912.0,1930.0,0.18,0.1,2.86
35,2014-8-5,70.0,59.0,80.0,64.0,83.0,45.0,103.0,1972.0,1918.0,0.0,0.09,3.38
36,2014-8-6,68.0,59.0,78.0,64.0,83.0,49.0,101.0,1994.0,1918.0,0.0,0.1,1.23
37,2014-8-7,65.0,53.0,77.0,64.0,83.0,52.0,97.0,1994.0,1918.0,0.0,0.09,2.89
38,2014-8-8,68.0,55.0,80.0,64.0,83.0,49.0,99.0,1989.0,1901.0,0.0,0.09,2.23
39,2014-8-9,70.0,59.0,82.0,64.0,83.0,50.0,99.0,1964.0,1894.0,0.0,0.09,2.98
40,2014-8-10,74.0,64.0,84.0,64.0,83.0,49.0,99.0,1962.0,1900.0,0.0,0.08,1.88
